CodeInsee,CodePostal,NomComm,CodeDept,CodeReg,BassinDeVie,CouleurBassinDeVie,CodeInterco,NomInterco,CouleurInterco,EditionPrint,CodeCanton,NomCanton,CouleurCanton
16138,16730,Fléac,16,75,,,200071827,CA du Grand Angoulême,1,18A,1601,Angoulême-1,1
16166,16340,L'Isle-d'Espagnac,16,75,,,200071827,CA du Grand Angoulême,1,18A,1602,Angoulême-2,2
16374,16800,Soyaux,16,75,,,200071827,CA du Grand Angoulême,1,18A,1603,Angoulême-3,3
16055,16410,Bouëx,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16101,16440,Claix,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16119,16410,Dignac,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16120,16410,Dirac,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16146,16410,Garat,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16236,16440,Mouthiers-sur-Boëme,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16263,16250,Plassac-Rouffiac,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16287,16440,Roullet-Saint-Estèphe,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16368,16410,Sers,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16382,16410,Torsac,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16418,16400,Vœuil-et-Giget,16,75,,,200071827,CA du Grand Angoulême,1,18A,1604,Boëme-Echelle,4
16420,16250,Voulgézac,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16422,16410,Vouzan,16,75,,,200071827,CA du Grand Angoulême,1,#N/A,1604,Boëme-Echelle,4
16008,16140,Ambérac,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16011,16560,Anais,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16023,16460,Aunac-sur-Charente,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16024,16560,Aussac-Vadalle,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16068,16260,Cellefrouin,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16069,16230,Cellettes,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16081,16140,La Chapelle,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16095,16460,Chenon,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16108,16330,Coulonges,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16140,16230,Fontclaireau,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16141,16230,Fontenille,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
16173,16230,Juillé,16,75,,,200072023,CC Cœur de Charente,2,#N/A,1605,Boixe-et-Manslois,5
